Code,Name,MainGroup,SubTags,Industry,GroupSize
1595,川寶,半導體設備,,"PCB相關設備, 半導體製程設備, 設備儀器商",109
1597,直得,機械,3D列印,"機械零組件, 滑軌",93
1598,岱宇,運動休閒,"運動休閒, 運動健身, 電商","健身器材, 運動產業",37
1599,宏佳騰,傳產其他,,"機車, 沙灘車, 車輛整車, 電動機車",246
1603,華電,電機電纜,電線電纜,"建材, 金屬建材, 電力電纜, 電線電纜",32
1604,聲寶,"航運, 面板",消費電子,"冷氣機, 家電, 小家電, 液晶電視, 物流業, 資產股, 運輸事業, 電冰箱, 顯示器","31, 91"
1605,華新,電機電纜,"碳權, 電線電纜, 風力發電","不鏽鋼, 電力電纜, 電線電纜",32
1608,華榮,電機電纜,電線電纜,"裸銅線, 銅, 電力電纜, 電線電纜, 非鐵金屬",32
1609,大亞,"網通, 電機電纜","氣候變遷, 無人機, 碳權, 電線電纜, 風力發電","漆包線, 裸銅線, 電力電纜, 電線電纜","92, 32"
1611,中電,網通,"一帶一路, 氫燃料電池, 無人機, 照明","LED, LED照明產品, 家電, 照明",92
1612,宏泰,"電動車, 電機電纜","車用電子, 電線電纜","電力電纜, 電線電纜","54, 32"
1614,三洋電,傳產其他,空污,"冷氣機, 家電, 小家電, 洗衣機, 液晶電視, 資產股, 電冰箱",246
1615,大山,電機電纜,電線電纜,"電力電纜, 電線電纜",32
1616,億泰,電機電纜,電線電纜,"電力電纜, 電線電纜",32
1617,榮星,電機電纜,電線電纜,"漆包線, 電線電纜",32
1618,合機,電機電纜,,"電力電纜, 電線電纜",32
1623,大東電,電機電纜,,"電力電纜, 電線電纜",32
1626,艾美特-KY,傳產其他,"空污, 第三方支付","家電, 小家電",246
1702,南僑,食品,,"冷凍麵團, 大宗物資, 控股公司, 油脂, 資產股, 食品加工, 麵製品相關",61
1707,葡萄王,"生技醫療, 食品","保健食品, 生技","保健食品, 生物科技, 食品加工, 食品生技","134, 61"
1708,東鹼,化學,化學工業,"化學工業, 化學產品通路, 散裝航運, 肥料, 運輸事業, 鹼業",69
1709,和益,化學,化學工業,"化學工業, 合成樹脂, 烷基苯, 酚",69
1710,東聯,化學,,"EG, 其他化工產品, 化學工業, 化纖原料",69
1711,永光,化學,"3DIC聯盟, 化學工業, 穿載裝置","光阻劑, 其他化工產品, 化學工業, 半導體化學品, 染料，顏料",69
1712,興農,生技醫療,農業生技,"化學工業, 流通業, 農藥, 連鎖超市",134
1713,國化,化學,化學工業,"保險粉, 其他化工產品, 化學工業",69
1714,和桐,化學,化學工業,"其他化工產品, 化學工業, 正烷屬烴, 烷基苯",69
1717,長興,"化學, 機械","3DIC聯盟, 3D列印, 化學工業, 穿載裝置","化學工業, 半導體化學品, 合成樹脂","69, 93"
1718,中纖,化學,,"EG, 其他化工產品, 化學工業, 化學纖維, 化纖原料, 聚酯加工絲, 聚酯絲",69
1720,生達,生技醫療,"寵物, 生技, 製藥業","學名藥, 生物科技, 西藥製劑, 醫藥產業, 食品生技",134
1721,三晃,化學,化學工業,"PU樹脂, 其他化工產品, 化學工業",69
1722,台肥,"化學, 生技醫療","化學工業, 農業生技","其他化工產品, 化學工業, 地產, 營建, 肥料, 資產股","69, 134"
1723,中碳,"網通, 電動車","Tesla特斯拉, 寧德時代, 氫燃料電池, 無人機, 空污, 電動車","化學工業, 煤化工","92, 54"
1725,元禎,化學,,"化學工業, 化學產品通路, 油品儲運／分銷, 石油及天然氣",69
1726,永記,建材,建材,"化學工業, 塗料",18
1727,中華化,"化學, 半導體設備",,"其他化工產品, 化學工業, 半導體化學品, 強酸產品, 染料，顏料","69, 109"
1730,花仙子,化學,,"化學工業, 衛生清潔用品",69
1731,美吾華,生技醫療,"生技, 衛生保健, 防疫","化學工業, 衛生清潔用品, 醫藥流通",134
1732,毛寶,化學,防疫,"化學工業, 衛生清潔用品",69
1733,五鼎,生技醫療,"生技, 醫療器材耗材, 長期照護, 長照","檢驗試劑／紙, 血糖儀, 體外診斷用醫材",134
1734,杏輝,生技醫療,"新藥, 生技, 製藥業","學名藥, 生物科技, 西藥製劑, 醫藥產業, 食品生技",134
1735,日勝化,化學,,"PU樹脂, 其他化工產品, 化學工業",69
1736,喬山,"生技醫療, 運動休閒","運動休閒, 運動健身, 醫美保養妝品, 長期照護, 長照, 電商","健身器材, 運動產業","134, 37"
1737,臺鹽,食品,,"大宗物資, 時尚產業, 生物科技, 美妝保養品, 製鹽業, 非酒精飲料, 食品生技, 飲料相關",61
1742,台蠟,"傳產其他, 化學, 食品",,"化學工業, 太陽能發電, 水產品加工, 石蠟, 電力, 食品加工","246, 69, 61"
1752,南光,生技醫療,製藥業,"學名藥, 西藥製劑, 醫藥產業",134
1760,寶齡富錦,生技醫療,"DANCE, 新藥, 新藥研發","學名藥, 專利藥, 新藥研發, 時尚產業, 檢驗試劑／紙, 生物科技, 美妝保養品, 西藥製劑, 醫藥產業, 食品生技, 體外診斷用醫材",134
