TagId,TagName,TagType,StockCode,StockName
C23120,PCB-製造,category,3229,晟鈦
C23130,PCB-材料設備,category,2383,台光電
C23130,PCB-材料設備,category,2467,志聖
C23130,PCB-材料設備,category,2493,揚博
C23130,PCB-材料設備,category,5340,建榮
C23130,PCB-材料設備,category,5381,合正
C23130,PCB-材料設備,category,5475,德宏
C23130,PCB-材料設備,category,5498,凱崴
C23130,PCB-材料設備,category,6192,巨路
C30015,IC-半導體設備,category,2338,光罩
C30015,IC-半導體設備,category,3178,公準
C30015,IC-半導體設備,category,3413,京鼎
C30015,IC-半導體設備,category,3583,辛耘
C30015,IC-半導體設備,category,3680,家登
C30015,IC-半導體設備,category,6532,瑞耘
C30015,IC-半導體設備,category,6640,均華
C30015,IC-半導體設備,category,6683,雍智科技
C30016,晶圓材料,category,3016,嘉晶
C30016,晶圓材料,category,3532,台勝科
C30016,晶圓材料,category,3707,漢磊
C30016,晶圓材料,category,4971,IET-KY
C30016,晶圓材料,category,6182,合晶
C30016,晶圓材料,category,6488,環球晶
C30017,半導體元件,category,2455,全新
C30017,半導體元件,category,3081,聯亞
C30017,半導體元件,category,5434,崇越
C30017,半導體元件,category,6208,日揚
C30017,半導體元件,category,6829,千附精密
C30018,記憶體IC設計,category,3006,晶豪科
C30018,記憶體IC設計,category,3014,聯陽
C30018,記憶體IC設計,category,5351,鈺創
C30018,記憶體IC設計,category,6531,愛普*
C30018,記憶體IC設計,category,8299,群聯
C30019,IP/ASIC,category,3035,智原
C30019,IP/ASIC,category,3443,創意
C30019,IP/ASIC,category,3529,力旺
C30019,IP/ASIC,category,3661,世芯-KY
C30019,IP/ASIC,category,6423,億而得
C30019,IP/ASIC,category,6533,晶心科
C30019,IP/ASIC,category,6643,M31
C30019,IP/ASIC,category,8227,巨有科技
C30020,IC-導線架,category,2351,順德
C30020,IC-導線架,category,2483,百容
C30020,IC-導線架,category,2486,一詮
C30020,IC-導線架,category,5285,界霖
C30020,IC-導線架,category,6548,長科*
C30020,IC-導線架,category,8070,長華*
C30021,ABF,category,3037,欣興
C30021,ABF,category,3189,景碩
C30021,ABF,category,8046,南電
C23140,LCD-TFT面板,category,2409,友達
C23140,LCD-TFT面板,category,6116,彩晶
C23140,LCD-TFT面板,category,8069,元太
C23140,LCD-TFT面板,category,3481,群創
C23140,LCD-TFT面板,category,4995,晶達
C23140,LCD-TFT面板,category,5245,智晶
C23140,LCD-TFT面板,category,8104,錸寶
C23140,LCD-TFT面板,category,3543,州巧
C23150,LCD-零組件,category,3049,精金
C23150,LCD-零組件,category,3051,力特
C23150,LCD-零組件,category,5371,中光電
C23150,LCD-零組件,category,6120,達運
C23150,LCD-零組件,category,6176,瑞儀
C23150,LCD-零組件,category,8085,福華
C23150,LCD-零組件,category,8240,華宏
C23150,LCD-零組件,category,3523,迎輝
C23160,LCD-STN面板,category,3038,全台
C23160,LCD-STN面板,category,5315,光聯
C23160,LCD-STN面板,category,6167,久正
C23160,LCD-STN面板,category,8049,晶采
C23160,LCD-STN面板,category,8105,凌巨
C23160,LCD-STN面板,category,3622,洋華
C23160,LCD-STN面板,category,3615,安可
C23160,LCD-STN面板,category,3623,富晶通
C23170,電源供應器,category,1471,首利
C23170,電源供應器,category,2413,環科
C23170,電源供應器,category,2420,新巨
C23170,電源供應器,category,3002,歐格
C23170,電源供應器,category,3015,全漢
C23170,電源供應器,category,3078,僑威
C23170,電源供應器,category,5328,華容
C23170,電源供應器,category,6109,亞元
C23180,變壓器與UPS,category,3043,科風
C23180,變壓器與UPS,category,3191,雲嘉南
C23180,變壓器與UPS,category,5309,系統電
C23180,變壓器與UPS,category,3617,碩天
C23180,變壓器與UPS,category,3628,盈正
C23180,變壓器與UPS,category,6409,旭隼
C23190,主機板,category,2331,精英
C23190,主機板,category,2376,技嘉
C23190,主機板,category,2377,微星
C23190,主機板,category,2399,映泰
C23190,主機板,category,2405,輔信
C23190,主機板,category,2425,承啟
C23190,主機板,category,3515,華擎
C23190,主機板,category,5386,青雲
C23200,光學鏡片,category,3008,大立光
C23200,光學鏡片,category,3019,亞光
C23200,光學鏡片,category,3362,先進光
C23200,光學鏡片,category,6209,今國光
C23200,光學鏡片,category,3406,玉晶光
C23200,光學鏡片,category,3504,揚明光
C23200,光學鏡片,category,3630,新鉅科
C23200,光學鏡片,category,6431,光麗-KY
C23210,NB與手機零組件,category,2387,精元
C23210,NB與手機零組件,category,3017,奇鋐
C23210,NB與手機零組件,category,3095,及成
C23210,NB與手機零組件,category,6283,淳安
C23210,NB與手機零組件,category,3323,加百裕
C23210,NB與手機零組件,category,3625,西勝
C23210,NB與手機零組件,category,5215,科嘉-KY
C23210,NB與手機零組件,category,5223,安力-KY
C23220,PC介面卡,category,2417,圓剛
C23220,PC介面卡,category,5474,聰泰
C23220,PC介面卡,category,6150,撼訊
C23230,機殼,category,3013,晟銘電
C23230,機殼,category,3032,偉訓
C23230,機殼,category,3325,旭品
C23230,機殼,category,5426,振發
C23230,機殼,category,5465,富驊
C23230,機殼,category,6117,迎廣
C23230,機殼,category,8210,勤誠
C23230,機殼,category,3230,錦明
C23240,儀器設備工程,category,2360,致茂
C23240,儀器設備工程,category,2404,漢唐
C23240,儀器設備工程,category,2423,固緯
C23240,儀器設備工程,category,2464,盟立
C23240,儀器設備工程,category,3055,蔚華科
C23240,儀器設備工程,category,3093,港建*
C23240,儀器設備工程,category,5493,三聯
C23240,儀器設備工程,category,6122,擎邦
C23250,通訊設備,category,2314,台揚
C23250,通訊設備,category,2321,東訊
C23250,通訊設備,category,2419,仲琦
C23250,通訊設備,category,2485,兆赫
C23250,通訊設備,category,3025,星通
C23250,通訊設備,category,4905,台聯電
C23250,通訊設備,category,4908,前鼎
C23250,通訊設備,category,6152,百一
C23260,網通,category,2332,友訊
C23260,網通,category,2345,智邦
C23260,網通,category,2444,兆勁
C23260,網通,category,3062,建漢
C23260,網通,category,3380,明泰
C23260,網通,category,4906,正文
C23260,網通,category,5388,中磊
C23260,網通,category,6142,友勁
C23270,EMS,category,2317,鴻海
C23270,EMS,category,3701,大眾控
C23270,EMS,category,4938,和碩
C23270,EMS,category,3706,神達
C23270,EMS,category,6669,緯穎
C23270,EMS,category,2312,金寶
C23270,EMS,category,7711,永擎
C23270,EMS,category,7744,崴寶
C23280,其他,category,2461,光群雷
C23280,其他,category,8083,瑞穎
C23280,其他,category,3303,岱稜
C23280,其他,category,8410,森田
C23280,其他,category,6538,倉和
C23280,其他,category,5345,馥鴻
C23280,其他,category,2459,敦吉
C23280,其他,category,6895,宏碩系統
C30022,磁碟陣列,category,2495,普安
C30022,磁碟陣列,category,3057,喬鼎
C30022,磁碟陣列,category,7805,威聯通
C30023,二次電池,category,5227,立凱-KY
C30023,二次電池,category,6781,AES-KY
C30023,二次電池,category,8038,長園科
C30023,二次電池,category,3211,順達
C30023,二次電池,category,6121,新普
C30024,散熱零組件,category,2421,建準
C30024,散熱零組件,category,3324,雙鴻
C30024,散熱零組件,category,3338,泰碩
C30024,散熱零組件,category,3483,力致
C30024,散熱零組件,category,3653,健策
C30024,散熱零組件,category,6124,業強
C30024,散熱零組件,category,6230,尼得科超眾
C30024,散熱零組件,category,6275,元山
C30025,聲學元件,category,2415,錩新
C30025,聲學元件,category,3206,志豐
C30025,聲學元件,category,4943,康控-KY
C30026,金屬製品,category,2059,川湖
C30026,金屬製品,category,6584,南俊國際
C30027,電子元件通路,category,3224,三顧
C30027,電子元件通路,category,6761,穩得
C23290,數位相機,category,2374,佳能
C23290,數位相機,category,3059,華晶科
C23290,數位相機,category,6225,天瀚
C23290,數位相機,category,8249,菱光
C23310,顯示器,category,2489,瑞軒
C23310,顯示器,category,4503,金雨
C23310,顯示器,category,9912,偉聯
C23310,顯示器,category,6577,勁豐
