Date,SectorName,PriceChange,TurnoverChange,FundFlow,MarginBalance,MarginChange,ShortBalance,ShortChange,ShortMarginRatio,inst_total_amount,foreign_amount,trust_amount,dealer_amount
2026-02-13,概念股_Switch,,,,335099,2951,18365,2799,,8395.0,,,
2026-02-13,概念股_TPU,,,,,,,,,,,,1677.0
2026-02-13,概念股_Tesla,,,,,,33738,3678,,,11863.0,859.0,
2026-02-13,概念股_Type C,,,,,,,,,,,-1182.0,
2026-02-13,概念股_iPhone,,,,,,,,,6795.0,,,2529.0
2026-02-13,概念股_一帶一路,,,,,,,,6.75,,22167.0,154.0,
2026-02-13,概念股_人工智慧,,,,,,,,,14619.0,8613.0,,2200.0
2026-02-13,概念股_元宇宙,,,,,,9058,920,,1480.0,,,2642.0
2026-02-13,概念股_再生醫療,0.95,181.43,127,,,,,,,,,
2026-02-13,概念股_太陽能,,,,581328,1218,,,,,,,
2026-02-13,概念股_建材,0.61,170,85,24641,225,,,,,,,
2026-02-13,概念股_指紋辨識,,,,,,,,,-2479.0,,,
2026-02-13,概念股_智慧音箱,,,,,,,,,3803.0,,,2143.0
2026-02-13,概念股_智慧顯示器,2.7,141.24,9312,,,,,,,,,
2026-02-13,概念股_氣候變遷,,,,,,,,,-1991.0,,,
2026-02-13,概念股_無線充電,,,,,,,,,6848.0,,,2190.0
2026-02-13,概念股_物聯網,,,,416698,1969,21045,2764,,,15261.0,1197.0,
2026-02-13,概念股_環境工程,,,,47432,544,,,,,,,
2026-02-13,概念股_生技服務,-3.91,180.13,1396,,,,,,,,,
2026-02-13,概念股_碳權,,,,,,,,,3142.0,,,
2026-02-13,概念股_穿載式裝置,,,,,,50595,2582,,,19604.0,2928.0,1408.0
2026-02-13,概念股_第三方支付,,,,,,,,7.87,,10044.0,476.0,
2026-02-13,概念股_虛擬貨幣,,,,,,14770,1180,,5374.0,,,2710.0
2026-02-13,概念股_行動支付,,,,,,,,8.05,,,,
2026-02-13,概念股_製藥業,-5.48,163.42,3167,,,,,,,,,
2026-02-13,概念股_視力保健,-1.94,91.5,140,,,,,,,,,
2026-02-13,概念股_記憶體,,,,,,,,7.17,,,,
2026-02-13,概念股_車用電子,,,,,,65001,1262,,,26259.0,965.0,
2026-02-13,概念股_車聯網,,,,,,,,,13487.0,8664.0,,2174.0
2026-02-13,概念股_連接器,,,,,,,,,,,-177.0,
2026-02-13,概念股_醫療器材耗材,,,,,,,,6.51,,,,
2026-02-13,概念股_醫療管理顧問,-0.21,100,1,,,,,,,,,
2026-02-13,概念股_銅箔,,,,,,,,11.57,,,,
2026-02-13,概念股_長期照護,,,,316157,2100,,,,,,,
2026-02-13,概念股_電動車,,,,410344,2042,26870,2765,6.55,,19309.0,587.0,
2026-02-13,概念股_電感,6.23,90.07,9359,,,,,,,,,
2026-02-13,概念股_電競,,,,265867,2898,,,7.37,,,,
2026-02-13,概念股_鴻海MIH電動車平台,,,,,,24157,2341,,,19519.0,-208.0,
2026-02-13,橡膠,,,,75228,287,,,,,,,
2026-02-13,汽車,2.29,88.26,466,,,,,,,,,
2026-02-13,消費電子,1.53,197.39,831,,,,,,,,,
2026-02-13,營建,,,,334421,1310,,,,,,,
2026-02-13,玻璃陶瓷,,,,78138,1311,,,11.17,,,,
2026-02-13,磁碟陣列,7,113.89,205,,,,,,,,,
2026-02-13,綠能環保,,,,66842,556,,,,,,,
2026-02-13,聲學元件,2.22,120,6,,,,,,,,,
2026-02-13,記憶體IC設計,,,,58500,604,,,,,,,
2026-02-13,金屬製品,,,,,,,,17.23,,,,
2026-02-13,金控,,,,,,,,13.03,,,,
2026-02-13,顯示器,2.1,372.04,2102,62108,7311,,,,,,,
2026-02-13,食品,,,,20445,178,,,,,,,
